Cod_Hystra;UTM_NY;UTM_EX;HEIGHT;DATA_INST;DATA_DISINST
T0030;711185.0;5114314.0;750.000;1927-10-01;2012-05-02
T0032;674697.0;5089881.0;1155.000;1921-01-01;2012-05-02
T0038;664546.0;5117656.0;205.000;1926-01-01;2009-12-17
T0063;624213.0;5132705.0;1800.000;1973-01-01;2013-05-02
T0064;628896.0;5135854.0;1565.000;1921-01-01;2009-12-17
T0065;630579.0;5142408.0;2600.000;1930-01-01;2013-07-30
T0068;629915.0;5135988.0;1190.000;1929-10-01;2013-05-02
T0069;624155.0;5124564.0;1795.000;1923-06-01;2009-12-17
T0071;638267.0;5130437.0;905.000;1921-01-01;2013-07-30
T0074;647602.0;5134902.0;720.000;1921-01-01;2013-07-30
T0075;638621.0;5141220.0;1352.000;1991-11-26;2013-01-22
T0076;641780.0;5140198.0;1098.000;1986-01-01;2011-12-28
T0080;664235.0;5145118.0;987.000;1921-01-01;2011-12-28
T0082;668863.0;5142943.0;1360.000;1921-01-01;2013-07-30
T0083;656254.0;5136272.0;665.000;1921-01-01;2012-05-17
T0084;658646.0;5134519.0;532.000;1975-01-01;2011-12-28
T0086;658018.0;5126437.0;426.000;1921-01-01;2011-12-28
T0088;661791.0;5131821.0;838.000;1993-11-18;2012-08-22
T0090;661468.0;5119980.0;225.000;1921-01-01;2009-12-17
T0092;719831.0;5149031.0;2063.000;1938-01-01;2013-05-02
T0094;700886.0;5142300.0;1750.000;1967-01-01;2013-07-30
T0096;704891.0;5140124.0;1205.000;1990-09-11;2012-06-12
T0098;704739.0;5139244.0;1175.000;1921-01-01;2012-02-09
T0099;657346.0;5111990.0;2125.000;1932-01-01;2012-05-02
T0101;660583.0;5113522.0;201.000;1935-01-01;2012-05-02
T0102;699814.0;5131766.0;1005.000;1921-01-01;2009-12-17
T0103;714636.0;5130930.0;2012.000;1921-01-01;2012-05-02
T0104;715465.0;5135456.0;2032.000;1985-01-01;2012-05-02
T0105;708247.0;5131578.0;1480.000;1975-01-01;2012-08-22
T0107;689420.0;5129334.0;1000.000;1921-01-01;2009-12-17
T0109;686131.0;5124183.0;964.000;1926-09-01;2012-05-02
T0110;683109.0;5126194.0;815.000;1973-01-01;2012-08-22
